Time	TS	TMT	TMR	SeqExp	SeqRcv
10:49:42.524	5584	1405673382493	1405673382524	1	9
10:49:42.789	5852	1405673382758	1405673382789	0	0
10:49:43.055	6116	1405673383024	1405673383055	1	1
10:49:43.320	6380	1405673383289	1405673383320	2	2
10:49:43.570	6648	1405673383554	1405673383570	3	3
10:49:43.851	6912	1405673383820	1405673383851	4	4
10:49:44.116	7176	1405673384085	1405673384116	5	5
10:49:44.382	7444	1405673384350	1405673384382	6	6
10:49:44.647	7708	1405673384616	1405673384647	7	7
10:49:44.897	7972	1405673384881	1405673384897	8	8
10:49:45.178	8236	1405673385147	1405673385178	1	9
10:49:45.443	8504	1405673385412	1405673385443	0	0
10:49:45.709	8768	1405673385677	1405673385709	1	1
10:49:45.974	9032	1405673385943	1405673385974	2	2
10:49:46.239	9300	1405673386208	1405673386239	3	3
10:49:46.505	9564	1405673386473	1405673386505	4	4
10:49:46.770	9836	1405673386739	1405673386770	5	5
10:49:47.035	10096	1405673387004	1405673387035	6	6
10:49:47.301	10360	1405673387270	1405673387301	7	7
10:49:47.566	10624	1405673387535	1405673387566	8	8
10:49:47.832	10888	1405673387800	1405673387832	1	9
10:49:48.097	11156	1405673388066	1405673388097	0	0
10:49:48.362	11424	1405673388331	1405673388362	1	1
10:49:48.628	11684	1405673388596	1405673388628	2	2
10:49:48.893	11952	1405673388862	1405673388893	3	3
10:49:49.158	12216	1405673389127	1405673389158	4	4
10:49:49.424	12480	1405673389393	1405673389424	5	5
10:49:49.689	12748	1405673389658	1405673389689	6	6
10:49:49.970	13012	1405673389923	1405673389970	7	7
10:49:50.220	13280	1405673390189	1405673390220	8	8
10:49:50.485	13540	1405673390454	1405673390485	1	9
10:49:50.751	13808	1405673390719	1405673390751	0	0
10:49:51.016	14080	1405673390985	1405673391016	1	1
10:49:51.281	14336	1405673391250	1405673391281	2	2
10:49:51.547	14604	1405673391516	1405673391547	3	3
10:49:51.797	14868	1405673391781	1405673391797	4	4
10:49:52.078	15136	1405673392046	1405673392078	5	5
10:49:52.343	15400	1405673392312	1405673392343	6	6
10:49:52.608	15664	1405673392577	1405673392608	7	7
10:49:52.874	15928	1405673392842	1405673392874	8	8
10:49:53.139	16192	1405673393108	1405673393139	1	9
10:49:53.404	76	1405673393373	1405673393404	0	0
10:49:53.670	340	1405673393639	1405673393670	1	1
10:49:53.905	592	1405673393889	1405673393905	2	2
10:49:54.186	856	1405673394155	1405673394186	3	3
10:49:54.451	1132	1405673394420	1405673394451	4	4
10:49:54.717	1384	1405673394685	1405673394717	5	5
10:49:54.982	1652	1405673394951	1405673394982	6	6
10:49:55.247	1916	1405673395216	1405673395247	7	7
10:49:55.513	2188	1405673395482	1405673395513	8	8
10:49:55.778	2448	1405673395747	1405673395778	1	9
10:49:56.044	2716	1405673396012	1405673396044	0	0
10:49:56.309	2976	1405673396278	1405673396309	1	1
10:49:56.574	3244	1405673396543	1405673396574	2	2
10:49:56.840	3508	1405673396808	1405673396840	3	3
10:49:57.105	3772	1405673397074	1405673397105	4	4
10:49:57.370	4040	1405673397339	1405673397370	5	5
10:49:57.651	4304	1405673397605	1405673397651	6	6
10:49:57.901	4568	1405673397870	1405673397901	7	7
10:49:58.167	4836	1405673398135	1405673398167	8	8
10:49:58.432	5104	1405673398401	1405673398432	1	9
10:49:58.697	5364	1405673398666	1405673398697	0	0
10:49:58.963	5632	1405673398931	1405673398963	1	1
10:49:59.228	5896	1405673399197	1405673399228	2	2
10:49:59.493	6160	1405673399462	1405673399493	3	3
10:49:59.759	6428	1405673399728	1405673399759	4	4
10:50:00.024	6688	1405673399993	1405673400024	5	5
10:50:00.290	6956	1405673400258	1405673400290	6	6
10:50:00.555	7220	1405673400524	1405673400555	7	7
10:50:00.820	7488	1405673400789	1405673400820	8	8
10:50:01.086	7756	1405673401054	1405673401086	1	9
10:50:01.351	8016	1405673401320	1405673401351	0	0
10:50:01.616	8280	1405673401585	1405673401616	1	1
10:50:01.882	8548	1405673401851	1405673401882	2	2
10:50:02.147	8812	1405673402116	1405673402147	3	3
10:50:02.413	9076	1405673402381	1405673402413	4	4
10:50:02.678	9344	1405673402647	1405673402678	5	5
10:50:02.943	9608	1405673402912	1405673402943	6	6
10:50:03.209	9876	1405673403177	1405673403209	7	7
10:50:03.474	10140	1405673403443	1405673403474	8	8
10:50:03.739	10404	1405673403708	1405673403739	1	9
10:50:04.005	10676	1405673403974	1405673404005	0	0
10:50:04.270	10932	1405673404239	1405673404270	1	1
